 658:    8: successfully loaded `testobj3.so', handle 0x555556ddb8e0
 657:   20: successfully loaded `testobj6.so', handle 0x555556ddb2b0
 656:   20: successfully unloaded `testobj6.so', handle 0x555556ddb2b0
 655:    0: successfully unloaded `testobj1.so', handle 0x555556ddcbd0
 654:   18: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 653:    4: successfully loaded `testobj2.so', handle 0x555556ddcbd0
 652:    8: successfully unloaded `testobj3.so', handle 0x555556ddb8e0
 651:    6: successfully unloaded `testobj2.so', handle 0x555556ddcbd0
 650:   21: successfully loaded `testobj6.so', handle 0x555556ddb8e0
 649:    3: successfully loaded `testobj1.so', handle 0x555556ddcbd0
 648:   11: successfully loaded `testobj3.so', handle 0x555556ddd090
 647:   16: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 646:   15: successfully unloaded `testobj4.so', handle 0x555556ddbfa0
 645:   23: successfully unloaded `testobj6.so', handle 0x555556ddb8e0
 644:    2: successfully unloaded `testobj1.so', handle 0x555556ddcbd0
 643:   18: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 642:   15: successfully loaded `testobj4.so', handle 0x555556ddcbd0
 641:    1: successfully loaded `testobj1.so', handle 0x555556ddb8e0
 640:    7: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 639:   21: successfully loaded `testobj6.so', handle 0x555556ddd850
 638:    2: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 637:    3: successfully loaded `testobj1.so', handle 0x555556ddb8e0
 636:   19: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 635:    9: successfully unloaded `testobj3.so', handle 0x555556ddd090
 634:   12: successfully unloaded `testobj4.so', handle 0x555556ddcbd0
 633:   23: successfully unloaded `testobj6.so', handle 0x555556ddd850
 632:   17: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 631:    7: successfully unloaded `testobj2.so', handle 0x555556ddbfa0
 630:    1: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 629:   14: successfully loaded `testobj4.so', handle 0x555556ddbfa0
 628:   17: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 627:    2: successfully loaded `testobj1.so', handle 0x555556ddb2b0
 626:   10: successfully loaded `testobj3.so', handle 0x555556ddb8e0
 625:   14: successfully unloaded `testobj4.so', handle 0x555556ddbfa0
 624:    2: successfully unloaded `testobj1.so', handle 0x555556ddb2b0
 623:    4: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 622:   18: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 621:    2: successfully loaded `testobj1.so', handle 0x555556ddcbd0
 620:    2: successfully unloaded `testobj1.so', handle 0x555556ddcbd0
 619:    8: successfully unloaded `testobj3.so', handle 0x555556ddb8e0
 618:    6: successfully unloaded `testobj2.so', handle 0x555556ddbfa0
 617:   13: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 616:   16: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 615:   21: successfully loaded `testobj6.so', handle 0x555556ddb2b0
 614:    4: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 613:   18: successfully loaded `testobj5.so', handle 0x555556ddd850
 612:   16: successfully unloaded `testobj5.so', handle 0x555556ddd850
 611:   19: successfully loaded `testobj5.so', handle 0x555556ddd850
 610:   12: successfully unloaded `testobj4.so', handle 0x555556ddb8e0
 609:   23: successfully unloaded `testobj6.so', handle 0x555556ddb2b0
 608:    9: successfully loaded `testobj3.so', handle 0x555556ddb8e0
 607:    6: successfully unloaded `testobj2.so', handle 0x555556ddbfa0
 606:   18: successfully unloaded `testobj5.so', handle 0x555556ddd850
 605:    4: successfully loaded `testobj2.so', handle 0x555556ddb2b0
 604:   16: successfully loaded `testobj5.so', handle 0x555556ddcbd0
 603:    7: successfully unloaded `testobj2.so', handle 0x555556ddb2b0
 602:    4: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 601:    1: successfully loaded `testobj1.so', handle 0x555556ddb2b0
 600:    6: successfully unloaded `testobj2.so', handle 0x555556ddbfa0
 599:   21: successfully loaded `testobj6.so', handle 0x555556ddbfa0
 598:   15: successfully loaded `testobj4.so', handle 0x555556ddd090
 597:    0: successfully unloaded `testobj1.so', handle 0x555556ddb2b0
 596:   15: successfully unloaded `testobj4.so', handle 0x555556ddd090
 595:   17: successfully unloaded `testobj5.so', handle 0x555556ddcbd0
 594:   14: successfully loaded `testobj4.so', handle 0x555556ddb2b0
 593:   17: successfully loaded `testobj5.so', handle 0x555556ddcbd0
 592:   21: successfully unloaded `testobj6.so', handle 0x555556ddbfa0
